Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Sun,1:00PM ET,0,0,0-1,0,Green Bay Packers,34.0,43.0,25.0,382.0,248.0,134.0,1.0,31.0,522.0,364.0,158.0,0.0,19.11,-28.03,-3.78,2020,0.0,min,2020-09-13
2,Sun,1:00PM ET,0,0,0-2,1,Indianapolis Colts,11.0,28.0,12.0,175.0,95.0,80.0,3.0,24.0,354.0,203.0,151.0,1.0,-9.97,-5.63,-4.52,2020,0.0,min,2020-09-20
3,Sun,1:00PM ET,0,0,0-3,0,Tennessee Titans,30.0,31.0,22.0,464.0,238.0,226.0,3.0,23.0,444.0,310.0,134.0,1.0,10.21,-3.79,-7.95,2020,0.0,min,2020-09-27
4,Sun,1:00PM ET,1,0,1-3,1,Houston Texans,31.0,23.0,24.0,410.0,248.0,162.0,0.0,20.0,386.0,290.0,96.0,1.0,17.07,-8.81,-1.44,2020,0.25,min,2020-10-04
5,Sun,8:20PM ET,0,0,1-4,1,Seattle Seahawks,26.0,27.0,31.0,449.0,248.0,201.0,2.0,18.0,314.0,190.0,124.0,1.0,6.68,-8.96,-0.07,2020,0.2,min,2020-10-11
6,Sun,1:00PM ET,0,0,1-5,0,Atlanta Falcons,23.0,40.0,19.0,365.0,333.0,32.0,3.0,24.0,462.0,363.0,99.0,1.0,0.99,-20.17,-0.84,2020,0.16666666666666666,min,2020-10-18
8,Sun,1:00PM ET,1,0,2-5,1,Green Bay Packers,28.0,22.0,20.0,324.0,151.0,173.0,0.0,24.0,400.0,291.0,109.0,1.0,20.77,-13.95,-1.23,2020,0.2857142857142857,min,2020-11-01
9,Sun,1:00PM ET,1,0,3-5,0,Detroit Lions,34.0,20.0,22.0,487.0,212.0,275.0,0.0,30.0,421.0,292.0,129.0,3.0,22.76,-4.68,-9.45,2020,0.375,min,2020-11-08
10,Mon,8:15PM ET,1,0,4-5,1,Chicago Bears,19.0,13.0,19.0,385.0,286.0,99.0,2.0,10.0,149.0,108.0,41.0,2.0,-3.86,18.69,-8.08,2020,0.4444444444444444,min,2020-11-16
11,Sun,4:25PM ET,0,0,4-6,0,Dallas Cowboys,28.0,31.0,24.0,430.0,305.0,125.0,2.0,24.0,376.0,196.0,180.0,1.0,9.0,-15.61,2.73,2020,0.4,min,2020-11-22
12,Sun,1:00PM ET,1,0,5-6,0,Carolina Panthers,28.0,27.0,26.0,387.0,291.0,96.0,3.0,21.0,374.0,267.0,107.0,1.0,0.99,-7.73,7.86,2020,0.45454545454545453,min,2020-11-29
13,Sun,1:00PM ET,1,1,6-6,0,Jacksonville Jaguars,27.0,24.0,30.0,420.0,275.0,145.0,2.0,20.0,390.0,266.0,124.0,4.0,-2.36,4.24,3.19,2020,0.5,min,2020-12-06
14,Sun,1:00PM ET,0,0,6-7,1,Tampa Bay Buccaneers,14.0,26.0,27.0,335.0,173.0,162.0,1.0,17.0,303.0,196.0,107.0,0.0,10.7,-18.44,-7.06,2020,0.46153846153846156,min,2020-12-13
15,Sun,1:00PM ET,0,0,6-8,0,Chicago Bears,27.0,33.0,26.0,407.0,249.0,158.0,1.0,23.0,397.0,198.0,199.0,1.0,11.76,-14.23,-4.0,2020,0.42857142857142855,min,2020-12-20
16,Fri,4:30PM ET,0,0,6-9,1,New Orleans Saints,33.0,52.0,25.0,364.0,274.0,90.0,0.0,36.0,583.0,319.0,264.0,2.0,16.7,-35.03,-0.55,2020,0.4,min,2020-12-25
17,Sun,1:00PM ET,1,0,7-9,1,Detroit Lions,37.0,35.0,31.0,508.0,383.0,125.0,0.0,21.0,417.0,288.0,129.0,2.0,27.15,-18.16,-3.69,2020,0.4375,min,2020-01-03
1,Sun,1:00PM ET,0,1,0-1,1,Cincinnati Bengals,24.0,27.0,24.0,403.0,336.0,67.0,1.0,20.0,366.0,217.0,149.0,0.0,2.9,-6.16,1.79,2021,0.0,min,2021-09-12
2,Sun,4:05PM ET,0,0,0-2,1,Arizona Cardinals,33.0,34.0,22.0,419.0,242.0,177.0,0.0,21.0,474.0,371.0,103.0,2.0,12.56,-11.99,-0.9,2021,0.0,min,2021-09-19
3,Sun,4:25PM ET,1,0,1-2,0,Seattle Seahawks,30.0,17.0,28.0,453.0,313.0,140.0,0.0,21.0,389.0,283.0,106.0,0.0,20.96,-14.86,1.13,2021,0.3333333333333333,min,2021-09-26
4,Sun,1:00PM ET,0,0,1-3,0,Cleveland Browns,7.0,14.0,16.0,255.0,190.0,65.0,1.0,20.0,327.0,143.0,184.0,0.0,-7.71,4.58,-2.13,2021,0.25,min,2021-10-03
5,Sun,1:00PM ET,1,0,2-3,0,Detroit Lions,19.0,17.0,18.0,384.0,264.0,120.0,2.0,22.0,288.0,180.0,108.0,2.0,-0.5,7.67,-4.46,2021,0.4,min,2021-10-10
6,Sun,1:00PM ET,1,1,3-3,1,Carolina Panthers,34.0,28.0,26.0,571.0,373.0,198.0,1.0,20.0,306.0,188.0,118.0,3.0,8.77,9.64,-12.64,2021,0.5,min,2021-10-17
8,Sun,8:20PM ET,0,0,3-4,0,Dallas Cowboys,16.0,20.0,17.0,278.0,177.0,101.0,0.0,23.0,419.0,341.0,78.0,2.0,-2.03,-6.74,6.34,2021,0.42857142857142855,min,2021-10-31
9,Sun,1:00PM ET,0,1,3-5,1,Baltimore Ravens,31.0,34.0,13.0,318.0,187.0,131.0,0.0,36.0,500.0,253.0,247.0,2.0,9.21,-20.4,8.25,2021,0.375,min,2021-11-07
10,Sun,4:05PM ET,1,0,4-5,1,Los Angeles Chargers,27.0,20.0,24.0,381.0,278.0,103.0,1.0,20.0,253.0,171.0,82.0,1.0,8.75,-3.95,2.56,2021,0.4444444444444444,min,2021-11-14
