Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
12,Sun,1:00PM ET,1,0,8-3,1,Indianapolis Colts,45.0,26.0,28.0,449.0,220.0,229.0,0.0,27.0,336.0,280.0,56.0,1.0,23.98,-6.68,6.58,2020,0.7272727272727273,oti,2020-11-29
13,Sun,1:00PM ET,0,0,8-4,0,Cleveland Browns,35.0,41.0,25.0,431.0,369.0,62.0,3.0,26.0,458.0,340.0,118.0,1.0,9.59,-16.85,-1.78,2020,0.6666666666666666,oti,2020-12-06
14,Sun,1:00PM ET,1,0,9-4,1,Jacksonville Jaguars,31.0,10.0,25.0,454.0,205.0,249.0,1.0,20.0,354.0,263.0,91.0,1.0,16.06,3.0,-0.34,2020,0.6923076923076923,oti,2020-12-13
15,Sun,1:00PM ET,1,0,10-4,0,Detroit Lions,46.0,25.0,28.0,463.0,268.0,195.0,0.0,27.0,430.0,307.0,123.0,3.0,33.75,-12.36,-2.3,2020,0.7142857142857143,oti,2020-12-20
16,Sun,8:20PM ET,0,0,10-5,1,Green Bay Packers,14.0,40.0,15.0,260.0,104.0,156.0,2.0,27.0,448.0,214.0,234.0,1.0,-3.08,-25.88,4.92,2020,0.6666666666666666,oti,2020-12-27
17,Sun,4:25PM ET,1,0,11-5,1,Houston Texans,41.0,38.0,28.0,492.0,204.0,288.0,1.0,26.0,457.0,361.0,96.0,1.0,25.43,-17.33,-4.17,2020,0.6875,oti,2020-01-03
Wild Card,Sun,1:05PM ET,0,0,11-6,0,Baltimore Ravens,13.0,20.0,12.0,209.0,158.0,51.0,1.0,22.0,401.0,165.0,236.0,1.0,-2.51,-10.95,2.13,2020,0.6470588235294118,oti,2020-01-10
1,Sun,1:00PM ET,0,0,0-1,0,Arizona Cardinals,13.0,38.0,17.0,248.0,162.0,86.0,3.0,22.0,416.0,280.0,136.0,1.0,-14.48,-8.83,-1.57,2021,0.0,oti,2021-09-12
2,Sun,4:25PM ET,1,1,1-1,1,Seattle Seahawks,33.0,30.0,33.0,532.0,320.0,212.0,1.0,17.0,397.0,320.0,77.0,0.0,17.41,-13.29,-1.06,2021,0.5,oti,2021-09-19
3,Sun,1:00PM ET,1,0,2-1,0,Indianapolis Colts,25.0,16.0,24.0,368.0,188.0,180.0,3.0,19.0,265.0,178.0,87.0,0.0,7.29,-3.98,4.86,2021,0.6666666666666666,oti,2021-09-26
4,Sun,1:00PM ET,0,1,2-2,1,New York Jets,24.0,27.0,30.0,430.0,253.0,177.0,0.0,16.0,355.0,289.0,66.0,1.0,2.8,-8.42,0.71,2021,0.5,oti,2021-10-03
5,Sun,1:00PM ET,1,0,3-2,1,Jacksonville Jaguars,37.0,19.0,23.0,368.0,184.0,184.0,0.0,24.0,454.0,256.0,198.0,2.0,17.49,-3.06,2.3,2021,0.6,oti,2021-10-10
6,Mon,8:15PM ET,1,0,4-2,0,Buffalo Bills,34.0,31.0,16.0,362.0,216.0,146.0,1.0,28.0,417.0,335.0,82.0,1.0,15.97,-13.13,0.79,2021,0.6666666666666666,oti,2021-10-18
7,Sun,1:00PM ET,1,0,5-2,0,Kansas City Chiefs,27.0,3.0,24.0,369.0,266.0,103.0,1.0,22.0,334.0,257.0,77.0,3.0,15.54,7.62,0.06,2021,0.7142857142857143,oti,2021-10-24
8,Sun,1:00PM ET,1,1,6-2,1,Indianapolis Colts,34.0,31.0,18.0,340.0,247.0,93.0,2.0,24.0,307.0,224.0,83.0,3.0,5.81,-3.55,0.74,2021,0.75,oti,2021-10-31
9,Sun,8:20PM ET,1,0,7-2,1,Los Angeles Rams,28.0,16.0,16.0,194.0,125.0,69.0,1.0,22.0,347.0,253.0,94.0,2.0,1.15,11.78,0.53,2021,0.7777777777777778,oti,2021-11-07
10,Sun,1:00PM ET,1,0,8-2,0,New Orleans Saints,23.0,21.0,17.0,264.0,198.0,66.0,0.0,22.0,373.0,287.0,86.0,1.0,1.15,-12.34,13.69,2021,0.8,oti,2021-11-14
