W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,1,Cincinnati Bengals,51.0,14.0,22.0,27.0,265.0,3.0,0.0,0.0,0.0,9.8,9.8,81.5,144.6,47.0,244.0,5.2,3.0,3.0,3.0,6.0,6.0,0.0,0.0,7.0,12.0,1.0,1.0,39:46,2018,nor,2018-11-11,0.8888888888888888
1,0,0,Philadelphia Eagles,48.0,7.0,23.0,32.0,373.0,4.0,0.0,0.0,0.0,11.7,11.7,71.9,150.1,37.0,173.0,4.7,2.0,2.0,2.0,6.0,6.0,2.0,99.0,6.0,11.0,1.0,1.0,37:34,2018,nor,2018-11-18,0.9
1,0,0,Atlanta Falcons,31.0,17.0,15.0,22.0,162.0,4.0,1.0,2.0,9.0,7.8,6.8,68.2,110.2,31.0,150.0,4.8,0.0,1.0,1.0,4.0,4.0,3.0,144.0,5.0,11.0,0.0,0.0,29:01,2018,nor,2018-11-22,0.9090909090909091
0,0,1,Dallas Cowboys,10.0,13.0,18.0,28.0,111.0,1.0,1.0,2.0,16.0,4.5,3.7,64.3,69.2,19.0,65.0,3.4,0.0,1.0,1.0,1.0,1.0,4.0,206.0,3.0,11.0,0.0,1.0,23:07,2018,nor,2018-11-29,0.8333333333333334
1,0,1,Tampa Bay Buccaneers,28.0,14.0,24.0,31.0,198.0,1.0,1.0,1.0,3.0,6.5,6.2,77.4,90.5,30.0,100.0,3.3,2.0,2.0,2.0,2.0,2.0,3.0,155.0,6.0,12.0,1.0,1.0,31:53,2018,nor,2018-12-09,0.8461538461538461
1,0,1,Carolina Panthers,12.0,9.0,23.0,35.0,191.0,0.0,1.0,2.0,12.0,5.8,5.2,65.7,67.7,32.0,155.0,4.8,1.0,2.0,2.0,0.0,0.0,4.0,168.0,4.0,13.0,1.0,1.0,35:09,2018,nor,2018-12-17,0.8571428571428571
1,0,0,Pittsburgh Steelers,31.0,28.0,27.0,40.0,313.0,1.0,1.0,2.0,13.0,8.2,7.5,67.5,88.9,19.0,57.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,141.0,6.0,12.0,0.0,0.0,28:40,2018,nor,2018-12-23,0.8666666666666667
0,0,0,Carolina Panthers,14.0,33.0,14.0,22.0,110.0,1.0,1.0,2.0,8.0,5.4,4.6,63.6,72.2,27.0,184.0,6.8,1.0,0.0,0.0,2.0,2.0,5.0,210.0,4.0,10.0,0.0,1.0,26:34,2018,nor,2018-12-30,0.8125
1,0,0,Houston Texans,30.0,28.0,32.0,43.0,362.0,2.0,1.0,1.0,8.0,8.6,8.2,74.4,105.0,21.0,148.0,7.0,1.0,3.0,4.0,3.0,3.0,2.0,88.0,7.0,11.0,0.0,0.0,30:13,2019,nor,2019-09-09,1.0
0,0,1,Los Angeles Rams,9.0,27.0,20.0,35.0,187.0,0.0,1.0,2.0,16.0,5.8,5.1,57.1,60.1,20.0,57.0,2.9,0.0,3.0,3.0,0.0,0.0,5.0,244.0,4.0,13.0,0.0,1.0,29:39,2019,nor,2019-09-15,0.5
1,0,1,Seattle Seahawks,33.0,27.0,19.0,27.0,177.0,2.0,0.0,0.0,0.0,6.6,6.6,70.4,112.7,23.0,88.0,3.8,1.0,0.0,0.0,3.0,4.0,6.0,324.0,3.0,11.0,1.0,1.0,28:27,2019,nor,2019-09-22,0.6666666666666666
1,0,0,Dallas Cowboys,12.0,10.0,23.0,30.0,149.0,0.0,1.0,5.0,44.0,6.4,4.3,76.7,72.8,27.0,117.0,4.3,0.0,4.0,4.0,0.0,0.0,4.0,174.0,6.0,14.0,0.0,0.0,36:04,2019,nor,2019-09-29,0.75
1,0,0,Tampa Bay Buccaneers,31.0,24.0,28.0,36.0,345.0,4.0,1.0,0.0,0.0,9.6,9.6,77.8,132.1,31.0,112.0,3.6,0.0,1.0,1.0,4.0,4.0,3.0,113.0,8.0,15.0,1.0,2.0,33:27,2019,nor,2019-10-06,0.8
1,0,1,Jacksonville Jaguars,13.0,6.0,24.0,36.0,222.0,1.0,0.0,3.0,18.0,6.7,5.7,66.7,92.6,26.0,104.0,4.0,0.0,2.0,2.0,1.0,1.0,6.0,251.0,5.0,13.0,0.0,0.0,33:09,2019,nor,2019-10-13,0.8333333333333334
1,0,1,Chicago Bears,36.0,25.0,23.0,38.0,273.0,2.0,0.0,1.0,8.0,7.4,7.0,60.5,100.0,35.0,151.0,4.3,2.0,2.0,4.0,4.0,4.0,4.0,169.0,7.0,15.0,0.0,0.0,37:26,2019,nor,2019-10-20,0.8571428571428571
1,0,0,Arizona Cardinals,31.0,9.0,34.0,43.0,373.0,3.0,1.0,0.0,0.0,8.7,8.7,79.1,116.4,29.0,137.0,4.7,1.0,1.0,2.0,4.0,4.0,2.0,88.0,7.0,12.0,0.0,0.0,37:59,2019,nor,2019-10-27,0.875
0,0,0,Atlanta Falcons,9.0,26.0,33.0,46.0,258.0,0.0,0.0,6.0,46.0,6.6,5.0,71.7,85.2,11.0,52.0,4.7,0.0,3.0,3.0,0.0,0.0,4.0,192.0,3.0,12.0,0.0,3.0,26:14,2019,nor,2019-11-10,0.7777777777777778
1,0,1,Tampa Bay Buccaneers,34.0,17.0,28.0,35.0,219.0,3.0,0.0,1.0,9.0,6.5,6.1,80.0,121.3,28.0,109.0,3.9,0.0,2.0,2.0,4.0,4.0,3.0,126.0,7.0,13.0,1.0,1.0,37:00,2019,nor,2019-11-17,0.8
1,0,0,Carolina Panthers,34.0,31.0,30.0,39.0,300.0,3.0,1.0,2.0,11.0,8.0,7.3,76.9,113.2,18.0,118.0,6.6,1.0,2.0,2.0,4.0,4.0,3.0,148.0,4.0,10.0,0.0,1.0,28:27,2019,nor,2019-11-24,0.8181818181818182
1,0,1,Atlanta Falcons,26.0,18.0,18.0,31.0,184.0,1.0,0.0,0.0,0.0,5.9,5.9,58.1,86.0,18.0,95.0,5.3,1.0,4.0,4.0,2.0,2.0,4.0,194.0,2.0,10.0,0.0,0.0,24:23,2019,nor,2019-11-28,0.8333333333333334
0,0,0,San Francisco 49ers,46.0,48.0,29.0,41.0,349.0,5.0,0.0,0.0,0.0,8.5,8.5,70.7,136.1,27.0,116.0,4.3,1.0,2.0,2.0,4.0,4.0,1.0,45.0,5.0,11.0,2.0,3.0,31:23,2019,nor,2019-12-08,0.7692307692307693
1,0,0,Indianapolis Colts,34.0,7.0,29.0,30.0,307.0,4.0,0.0,0.0,0.0,10.2,10.2,96.7,148.9,33.0,117.0,3.5,0.0,2.0,2.0,4.0,4.0,2.0,87.0,5.0,9.0,0.0,0.0,36:22,2019,nor,2019-12-16,0.7857142857142857
1,0,1,Tennessee Titans,38.0,28.0,28.0,40.0,275.0,3.0,0.0,3.0,24.0,7.5,6.4,70.0,114.1,23.0,102.0,4.4,2.0,1.0,1.0,5.0,5.0,5.0,244.0,4.0,12.0,0.0,1.0,31:04,2019,nor,2019-12-22,0.8
1,0,1,Carolina Panthers,42.0,10.0,20.0,31.0,264.0,3.0,0.0,1.0,3.0,8.6,8.3,64.5,123.6,35.0,115.0,3.3,2.0,0.0,0.0,6.0,6.0,6.0,283.0,4.0,11.0,0.0,0.0,35:40,2019,nor,2019-12-29,0.8125
1,0,0,Tampa Bay Buccaneers,34.0,23.0,19.0,31.0,189.0,2.0,0.0,1.0,9.0,6.4,5.9,61.3,100.1,34.0,82.0,2.4,1.0,2.0,2.0,4.0,4.0,6.0,264.0,5.0,15.0,0.0,1.0,31:23,2020,nor,2020-09-13,1.0
0,0,1,Las Vegas Raiders,24.0,34.0,26.0,38.0,312.0,1.0,1.0,0.0,0.0,8.2,8.2,68.4,91.1,19.0,112.0,5.9,2.0,1.0,1.0,3.0,3.0,3.0,109.0,7.0,11.0,0.0,0.0,23:42,2020,nor,2020-09-21,0.5
0,0,0,Green Bay Packers,30.0,37.0,29.0,36.0,275.0,3.0,0.0,2.0,13.0,8.0,7.2,80.6,126.3,20.0,122.0,6.1,0.0,3.0,3.0,3.0,3.0,3.0,115.0,5.0,11.0,1.0,1.0,28:20,2020,nor,2020-09-27,0.3333333333333333
1,0,1,Detroit Lions,35.0,29.0,19.0,25.0,228.0,2.0,1.0,2.0,18.0,9.8,8.4,76.0,113.4,42.0,164.0,3.9,3.0,0.0,0.0,5.0,5.0,2.0,66.0,10.0,14.0,1.0,1.0,36:46,2020,nor,2020-10-04,0.5
1,1,0,Los Angeles Chargers,30.0,27.0,33.0,48.0,313.0,1.0,1.0,2.0,12.0,6.8,6.3,68.8,84.8,25.0,95.0,3.8,2.0,3.0,3.0,3.0,3.0,6.0,281.0,5.0,15.0,0.0,0.0,35:01,2020,nor,2020-10-12,0.6
1,0,0,Carolina Panthers,27.0,24.0,30.0,37.0,277.0,2.0,0.0,1.0,10.0,7.8,7.3,81.1,115.9,29.0,138.0,4.8,1.0,2.0,2.0,3.0,3.0,0.0,0.0,12.0,14.0,0.0,0.0,34:41,2020,nor,2020-10-25,0.6666666666666666
1,1,1,Chicago Bears,26.0,23.0,31.0,41.0,272.0,2.0,0.0,1.0,8.0,6.8,6.5,75.6,109.0,30.0,122.0,4.1,0.0,4.0,5.0,2.0,2.0,4.0,153.0,2.0,13.0,2.0,3.0,35:15,2020,nor,2020-11-01,0.7142857142857143
1,0,1,Tampa Bay Buccaneers,38.0,3.0,29.0,35.0,282.0,4.0,0.0,1.0,0.0,8.1,7.8,82.9,138.3,37.0,138.0,3.7,1.0,1.0,1.0,5.0,5.0,1.0,51.0,9.0,14.0,1.0,2.0,40:04,2020,nor,2020-11-08,0.75
