W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
0,0,1,Chicago Bears,17.0,24.0,25.0,42.0,235.0,0.0,1.0,5.0,39.0,6.5,5.0,59.5,65.1,19.0,88.0,4.6,1.0,3.0,3.0,0.0,0.0,5.0,208.0,5.0,14.0,1.0,1.0,29:37,2018,gnb,2018-12-16,0.35714285714285715
1,1,1,New York Jets,44.0,38.0,37.0,55.0,413.0,2.0,0.0,4.0,29.0,8.0,7.0,67.3,101.6,20.0,127.0,6.4,3.0,3.0,3.0,3.0,3.0,3.0,113.0,5.0,12.0,2.0,2.0,34:19,2018,gnb,2018-12-23,0.4
0,0,0,Detroit Lions,0.0,31.0,19.0,40.0,129.0,0.0,1.0,3.0,29.0,4.0,3.0,47.5,44.7,13.0,46.0,3.5,0.0,0.0,0.0,0.0,0.0,7.0,317.0,5.0,16.0,1.0,3.0,23:06,2018,gnb,2018-12-30,0.375
1,0,1,Chicago Bears,10.0,3.0,18.0,30.0,166.0,1.0,0.0,5.0,37.0,6.8,4.7,60.0,86.2,22.0,47.0,2.1,0.0,1.0,1.0,1.0,1.0,9.0,428.0,2.0,12.0,0.0,0.0,31:03,2019,gnb,2019-09-05,1.0
1,0,0,Minnesota Vikings,21.0,16.0,22.0,34.0,191.0,2.0,0.0,2.0,18.0,6.1,5.3,64.7,99.0,33.0,144.0,4.4,1.0,0.0,0.0,3.0,3.0,8.0,381.0,5.0,15.0,0.0,1.0,34:06,2019,gnb,2019-09-15,1.0
1,0,0,Denver Broncos,27.0,16.0,17.0,29.0,235.0,1.0,0.0,0.0,0.0,8.1,8.1,58.6,96.2,23.0,77.0,3.3,2.0,2.0,3.0,3.0,3.0,4.0,212.0,2.0,9.0,0.0,0.0,24:26,2019,gnb,2019-09-22,1.0
0,0,0,Philadelphia Eagles,27.0,34.0,34.0,53.0,414.0,2.0,1.0,1.0,8.0,8.0,7.7,64.2,92.8,20.0,77.0,3.9,1.0,2.0,2.0,3.0,3.0,2.0,83.0,6.0,11.0,0.0,1.0,32:21,2019,gnb,2019-09-26,0.75
1,0,1,Dallas Cowboys,34.0,24.0,22.0,34.0,215.0,0.0,0.0,2.0,23.0,7.0,6.0,64.7,82.4,29.0,120.0,4.1,4.0,2.0,2.0,4.0,4.0,6.0,297.0,3.0,12.0,0.0,0.0,36:43,2019,gnb,2019-10-06,0.8
1,0,0,Detroit Lions,23.0,22.0,24.0,39.0,277.0,2.0,1.0,1.0,6.0,7.3,6.9,61.5,89.4,29.0,170.0,5.9,0.0,3.0,3.0,2.0,2.0,3.0,155.0,4.0,12.0,0.0,0.0,33:04,2019,gnb,2019-10-14,0.8333333333333334
1,0,0,Oakland Raiders,42.0,24.0,25.0,31.0,421.0,5.0,0.0,1.0,8.0,13.8,13.2,80.6,158.3,23.0,60.0,2.6,1.0,0.0,0.0,6.0,6.0,3.0,166.0,6.0,10.0,0.0,0.0,30:24,2019,gnb,2019-10-20,0.8571428571428571
