Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
Wild Card,Sun,4:40PM ET,0,0,8-9,1,New Orleans Saints,9.0,21.0,11.0,239.0,191.0,48.0,0.0,27.0,385.0,262.0,123.0,1.0,-7.56,-11.98,9.21,2020,0.47058823529411764,chi,2020-01-10
1,Sun,8:20PM ET,0,0,0-1,1,Los Angeles Rams,14.0,34.0,24.0,322.0,188.0,134.0,2.0,18.0,386.0,312.0,74.0,0.0,-0.85,-21.58,0.52,2021,0.0,chi,2021-09-12
2,Sun,1:00PM ET,1,0,1-1,0,Cincinnati Bengals,20.0,17.0,16.0,206.0,83.0,123.0,1.0,14.0,248.0,179.0,69.0,4.0,-11.15,16.14,-1.51,2021,0.5,chi,2021-09-19
3,Sun,1:00PM ET,0,0,1-2,1,Cleveland Browns,6.0,26.0,6.0,47.0,1.0,46.0,0.0,26.0,418.0,203.0,215.0,0.0,-19.73,-6.11,2.28,2021,0.3333333333333333,chi,2021-09-26
4,Sun,1:00PM ET,1,0,2-2,0,Detroit Lions,24.0,14.0,20.0,373.0,185.0,188.0,1.0,23.0,351.0,261.0,90.0,2.0,12.01,-1.56,0.02,2021,0.5,chi,2021-10-03
5,Sun,4:05PM ET,1,0,3-2,1,Las Vegas Raiders,20.0,9.0,19.0,252.0,109.0,143.0,0.0,16.0,259.0,188.0,71.0,1.0,2.39,7.14,2.05,2021,0.6,chi,2021-10-10
6,Sun,1:00PM ET,0,0,3-3,0,Green Bay Packers,14.0,24.0,21.0,277.0,137.0,140.0,1.0,22.0,323.0,169.0,154.0,0.0,4.93,-14.93,-0.3,2021,0.5,chi,2021-10-17
7,Sun,4:25PM ET,0,0,3-4,1,Tampa Bay Buccaneers,3.0,38.0,17.0,311.0,168.0,143.0,5.0,28.0,408.0,226.0,182.0,1.0,-18.58,-16.41,4.77,2021,0.42857142857142855,chi,2021-10-24
8,Sun,1:00PM ET,0,0,3-5,0,San Francisco 49ers,22.0,33.0,22.0,324.0,148.0,176.0,1.0,21.0,467.0,322.0,145.0,0.0,9.87,-21.75,2.14,2021,0.375,chi,2021-10-31
9,Mon,8:15PM ET,0,0,3-6,1,Pittsburgh Steelers,27.0,29.0,20.0,414.0,278.0,136.0,2.0,20.0,280.0,175.0,105.0,1.0,4.26,-8.46,4.79,2021,0.3333333333333333,chi,2021-11-08
