Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
14,Sun,1:00PM ET,0,0,4-9,0,Denver Broncos,27.0,32.0,22.0,370.0,245.0,125.0,0.0,23.0,365.0,269.0,96.0,1.0,7.47,-8.51,-5.3,2020,0.3076923076923077,car,2020-12-13
15,Sat,8:15PM ET,0,0,4-10,1,Green Bay Packers,16.0,24.0,20.0,364.0,249.0,115.0,1.0,20.0,291.0,96.0,195.0,0.0,-1.0,-6.96,-4.27,2020,0.2857142857142857,car,2020-12-19
16,Sun,4:05PM ET,1,0,5-10,1,Washington Football Team,20.0,13.0,19.0,280.0,167.0,113.0,2.0,20.0,386.0,278.0,108.0,4.0,-5.85,5.49,7.24,2020,0.3333333333333333,car,2020-12-27
17,Sun,4:25PM ET,0,0,5-11,0,New Orleans Saints,7.0,33.0,17.0,320.0,246.0,74.0,5.0,20.0,347.0,191.0,156.0,0.0,-14.42,-10.71,-0.09,2020,0.3125,car,2020-01-03
1,Sun,1:00PM ET,1,0,1-0,0,New York Jets,19.0,14.0,17.0,381.0,270.0,111.0,1.0,16.0,252.0,207.0,45.0,1.0,1.31,10.0,-3.49,2021,1.0,car,2021-09-12
2,Sun,1:00PM ET,1,0,2-0,0,New Orleans Saints,26.0,7.0,28.0,383.0,294.0,89.0,1.0,6.0,128.0,80.0,48.0,2.0,12.61,21.2,-12.63,2021,1.0,car,2021-09-19
3,Thu,8:20PM ET,1,0,3-0,1,Houston Texans,24.0,9.0,28.0,407.0,290.0,117.0,0.0,14.0,193.0,151.0,42.0,0.0,14.35,5.6,-5.17,2021,1.0,car,2021-09-23
4,Sun,1:00PM ET,0,0,3-1,1,Dallas Cowboys,28.0,36.0,24.0,379.0,266.0,113.0,2.0,24.0,433.0,188.0,245.0,0.0,10.49,-19.39,-1.46,2021,0.75,car,2021-10-03
5,Sun,1:00PM ET,0,0,3-2,0,Philadelphia Eagles,18.0,21.0,17.0,267.0,158.0,109.0,3.0,15.0,273.0,182.0,91.0,2.0,-16.27,15.13,-3.99,2021,0.6,car,2021-10-10
6,Sun,1:00PM ET,0,1,3-3,0,Minnesota Vikings,28.0,34.0,20.0,306.0,188.0,118.0,3.0,26.0,571.0,373.0,198.0,1.0,-9.64,-8.77,12.64,2021,0.5,car,2021-10-17
7,Sun,1:00PM ET,0,0,3-4,1,New York Giants,3.0,25.0,11.0,173.0,117.0,56.0,1.0,21.0,302.0,199.0,103.0,0.0,-22.46,3.21,-2.91,2021,0.42857142857142855,car,2021-10-24
8,Sun,1:00PM ET,1,0,4-4,1,Atlanta Falcons,19.0,13.0,21.0,332.0,129.0,203.0,1.0,17.0,213.0,131.0,82.0,2.0,0.86,2.84,4.14,2021,0.5,car,2021-10-31
9,Sun,1:00PM ET,0,0,4-5,0,New England Patriots,6.0,24.0,13.0,240.0,162.0,78.0,3.0,17.0,273.0,122.0,151.0,2.0,-26.35,3.56,5.26,2021,0.4444444444444444,car,2021-11-07
10,Sun,4:05PM ET,1,0,5-5,1,Arizona Cardinals,34.0,10.0,24.0,341.0,175.0,166.0,2.0,11.0,169.0,104.0,65.0,2.0,2.27,19.35,1.02,2021,0.5,car,2021-11-14
