Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
14,Sun,December 13,1:00PM ET,boxscore,0,0,4-9,1,Chicago Bears,7.0,36.0,17.0,263.0,155.0,108.0,2.0,23.0,410.0,241.0,169.0,0.0,-8.67,-16.71,-2.22,2020,htx,December,13,2020/December/13,2020-12-13
15,Sun,December 20,1:00PM ET,boxscore,0,0,4-10,1,Indianapolis Colts,20.0,27.0,22.0,425.0,342.0,83.0,2.0,20.0,350.0,223.0,127.0,0.0,12.04,-16.23,-1.35,2020,htx,December,20,2020/December/20,2020-12-20
16,Sun,December 27,1:00PM ET,boxscore,0,0,4-11,0,Cincinnati Bengals,31.0,37.0,23.0,488.0,322.0,166.0,1.0,27.0,540.0,371.0,169.0,0.0,20.31,-25.27,2.34,2020,htx,December,27,2020/December/27,2020-12-27
17,Sun,January 3,4:25PM ET,boxscore,0,0,4-12,0,Tennessee Titans,38.0,41.0,26.0,457.0,361.0,96.0,1.0,28.0,492.0,204.0,288.0,1.0,17.33,-25.43,4.17,2020,htx,January,3,2020/January/3,2020-01-03
1,Sun,September 12,1:00PM ET,boxscore,1,0,1-0,0,Jacksonville Jaguars,37.0,21.0,22.0,449.0,289.0,160.0,0.0,20.0,395.0,319.0,76.0,3.0,14.76,1.54,-0.16,2021,htx,September,12,2021/September/12,2021-09-12
2,Sun,September 19,1:00PM ET,boxscore,0,0,1-1,1,Cleveland Browns,21.0,31.0,17.0,302.0,220.0,82.0,2.0,22.0,355.0,199.0,156.0,2.0,9.61,-8.22,-8.62,2021,htx,September,19,2021/September/19,2021-09-19
3,Thu,September 23,8:20PM ET,boxscore,0,0,1-2,0,Carolina Panthers,9.0,24.0,14.0,193.0,151.0,42.0,0.0,28.0,407.0,290.0,117.0,0.0,-5.6,-14.35,5.17,2021,htx,September,23,2021/September/23,2021-09-23
4,Sun,October 3,1:00PM ET,boxscore,0,0,1-3,1,Buffalo Bills,0.0,40.0,6.0,109.0,61.0,48.0,5.0,26.0,450.0,251.0,199.0,1.0,-32.68,-14.54,6.4,2021,htx,October,3,2021/October/3,2021-10-03
5,Sun,October 10,1:00PM ET,boxscore,0,0,1-4,0,New England Patriots,22.0,25.0,14.0,360.0,293.0,67.0,1.0,21.0,352.0,226.0,126.0,2.0,13.76,-6.89,-8.6,2021,htx,October,10,2021/October/10,2021-10-10
6,Sun,October 17,1:00PM ET,boxscore,0,0,1-5,1,Indianapolis Colts,3.0,31.0,19.0,353.0,229.0,124.0,3.0,15.0,388.0,214.0,174.0,0.0,-9.92,-17.25,0.25,2021,htx,October,17,2021/October/17,2021-10-17
7,Sun,October 24,4:25PM ET,boxscore,0,0,1-6,1,Arizona Cardinals,5.0,31.0,8.0,160.0,118.0,42.0,1.0,24.0,397.0,225.0,172.0,1.0,-23.71,-13.37,10.47,2021,htx,October,24,2021/October/24,2021-10-24
8,Sun,October 31,1:00PM ET,boxscore,0,0,1-7,0,Los Angeles Rams,22.0,38.0,18.0,323.0,279.0,44.0,1.0,26.0,467.0,302.0,165.0,0.0,1.75,-22.2,8.01,2021,htx,October,31,2021/October/31,2021-10-31
9,Sun,November 7,1:00PM ET,boxscore,0,0,1-8,1,Miami Dolphins,9.0,17.0,14.0,272.0,199.0,73.0,4.0,22.0,262.0,215.0,47.0,5.0,-19.43,8.14,4.21,2021,htx,November,7,2021/November/7,2021-11-07
